wav_filename,wav_filesize,start_time,stop_time,label
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_2406_75369_0.wav,2334860.0,2406.0,75369.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_75369_79738_1.wav,139852.0,75369.0,79738.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_79738_84974_0.wav,167596.0,79738.0,84974.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_84974_87946_1.wav,95148.0,84974.0,87946.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_87946_91491_0.wav,113484.0,87946.0,91491.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_91491_98237_2.wav,215916.0,91491.0,98237.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_98237_101835_1.wav,115180.0,98237.0,101835.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_101835_114870_0.wav,417164.0,101835.0,114870.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_114870_140689_1.wav,826252.0,114870.0,140689.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_140689_165716_0.wav,800908.0,140689.0,165716.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_165716_168535_1.wav,90252.0,165716.0,168535.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_168535_171903_0.wav,107820.0,168535.0,171903.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_171903_188119_1.wav,518956.0,171903.0,188119.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_188119_199452_0.wav,362700.0,188119.0,199452.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_196850_204458_1.wav,243500.0,196850.0,204458.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_204458_206929_0.wav,79116.0,204458.0,206929.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_206929_210347_1.wav,109420.0,206929.0,210347.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_210347_217567_3.wav,231084.0,210347.0,217567.0,3.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_217567_224472_1.wav,221004.0,217567.0,224472.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_224472_229479_0.wav,160268.0,224472.0,229479.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_229479_238407_1.wav,285740.0,229479.0,238407.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_238407_267279_0.wav,923948.0,238407.0,267279.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_267279_275640_1.wav,267596.0,267279.0,275640.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_275640_278869_0.wav,103372.0,275640.0,278869.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_278869_289576_1.wav,342668.0,278869.0,289576.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_289576_315875_0.wav,841612.0,289576.0,315875.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_315875_318488_1.wav,83660.0,315875.0,318488.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_318488_355542_0.wav,1185772.0,318488.0,355542.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_325170_327642_1.wav,79148.0,325170.0,327642.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_355542_368039_1.wav,399948.0,355542.0,368039.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_368039_370600_0.wav,81996.0,368039.0,370600.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_370600_373788_1.wav,102060.0,370600.0,373788.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_373788_395922_0.wav,708332.0,373788.0,395922.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_395922_404808_1.wav,284396.0,395922.0,404808.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_404808_417788_0.wav,415404.0,404808.0,417788.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_417788_433432_1.wav,500652.0,417788.0,433432.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_433432_440766_2.wav,234732.0,433432.0,440766.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_440766_463164_0.wav,716780.0,440766.0,463164.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_463164_468835_1.wav,181516.0,463164.0,468835.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_468835_471126_0.wav,73356.0,468835.0,471126.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_471126_476314_1.wav,166060.0,471126.0,476314.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_476314_483802_0.wav,239660.0,476314.0,483802.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_483802_485863_1.wav,65996.0,483802.0,485863.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_485863_490114_0.wav,136076.0,485863.0,490114.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_490114_496517_1.wav,204940.0,490114.0,496517.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_496517_526596_0.wav,962572.0,496517.0,526596.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_526596_529041_1.wav,78284.0,526596.0,529041.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_529041_533803_0.wav,152428.0,529041.0,533803.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_533803_536582_1.wav,88972.0,533803.0,536582.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_536582_544332_0.wav,248044.0,536582.0,544332.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_542256_548649_1.wav,204620.0,542256.0,548649.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_548649_566763_0.wav,579692.0,548649.0,566763.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_566763_571655_1.wav,156588.0,566763.0,571655.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_571655_598685_0.wav,865004.0,571655.0,598685.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_598685_603589_1.wav,156972.0,598685.0,603589.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_603589_609263_0.wav,181612.0,603589.0,609263.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/code_refactoring/chunk_609263_617507_1.wav,263852.0,609263.0,617507.0,1.0
