wav_filename,wav_filesize,start_time,stop_time,label
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_2483_7479_0.wav,159916.0,2483.0,7479.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_7479_10692_3.wav,102860.0,7479.0,10692.0,3.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_12549_16571_1.wav,128748.0,12549.0,16571.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_16571_19067_2.wav,79916.0,16571.0,19067.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_19067_21219_4.wav,68908.0,19067.0,21219.0,4.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_21219_24357_1.wav,100460.0,21219.0,24357.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_24357_61034_2.wav,1173708.0,24357.0,61034.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_61034_63634_1.wav,83244.0,61034.0,63634.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_63634_67849_2.wav,134924.0,63634.0,67849.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_67849_70078_1.wav,71372.0,67849.0,70078.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_70078_94385_2.wav,777868.0,70078.0,94385.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_92374_108969_1.wav,531084.0,92374.0,108969.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_108969_142234_2.wav,1064524.0,108969.0,142234.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_142234_157026_1.wav,473388.0,142234.0,157026.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_157026_178274_2.wav,679980.0,157026.0,178274.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_159795_165305_1.wav,176364.0,159795.0,165305.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_175444_187930_1.wav,399596.0,175444.0,187930.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_185586_195707_2.wav,323916.0,185586.0,195707.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_194348_204227_1.wav,316172.0,194348.0,204227.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_203151_221865_2.wav,598892.0,203151.0,221865.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_221865_225926_1.wav,129996.0,221865.0,225926.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_225926_230912_2.wav,159596.0,225926.0,230912.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_228387_235807_1.wav,237484.0,228387.0,235807.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_233551_243865_2.wav,330092.0,233551.0,243865.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_240316_250400_1.wav,322732.0,240316.0,250400.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_247542_252616_2.wav,162412.0,247542.0,252616.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_252616_256807_1.wav,134156.0,252616.0,256807.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_256807_264047_2.wav,231724.0,256807.0,264047.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_264047_267775_1.wav,119340.0,264047.0,267775.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_267775_275273_2.wav,239980.0,267775.0,275273.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_270171_295368_1.wav,806348.0,270171.0,295368.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_284857_289074_2.wav,134988.0,284857.0,289074.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/kt_packaging_convention/chunk_295368_298660_2.wav,105388.0,295368.0,298660.0,2.0
