wav_filename,wav_filesize,start_time,stop_time,label
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_5222_14152_0.wav,285804.0,5222.0,14152.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_14152_39440_1.wav,809260.0,14152.0,39440.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_39440_69582_0.wav,964588.0,39440.0,69582.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_69582_83356_1.wav,440812.0,69582.0,83356.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_83356_94528_0.wav,357548.0,83356.0,94528.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_94528_104370_1.wav,314988.0,94528.0,104370.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_104370_120284_0.wav,509292.0,104370.0,120284.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_110595_112749_1.wav,68972.0,110595.0,112749.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_120284_128535_1.wav,264076.0,120284.0,128535.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_130226_132713_2.wav,79628.0,130226.0,132713.0,2.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_132713_144491_1.wav,376940.0,132713.0,144491.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_144491_162306_0.wav,570124.0,144491.0,162306.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_162306_179348_1.wav,545388.0,162306.0,179348.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_181744_198037_1.wav,521420.0,181744.0,198037.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_198037_205733_0.wav,246316.0,198037.0,205733.0,0.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_205733_218163_1.wav,397804.0,205733.0,218163.0,1.0
C:/Users/AG84959/OneDrive - Anthem/PROJECTS/Pratilipi/source_code/speaker-diarization/module/speaker_diarization/results/store_segs/working_session/chunk_218163_234037_0.wav,508012.0,218163.0,234037.0,0.0
