transcript,summary
"Frederick gets my knowledge. I think one of the other important threads here is as we get this to GA coming up with a library of heatmaps or, you know, top, top of the list use cases, or I've had mentioned that, and then you have been mentioning that. So I think having a separate work stream, or maybe there is one already there, but at some point I'd like to understand how does that process yeah. Interesting with this GA. ","With respect to GA, I would like to understand how does having a separate work stream process."
"Now that we now have a platform that we can build off of. Right. So I does that make sense? Right. So I still think that is, uh, Bobby, perhaps this is for you, is that if you looked at that you might be able to hand select some things. ","We have now a platform from which we can build off. If Bobby looked at it, he might hand select some things."
"That kind of stuff. More ads, heavy stuff. Yeah.  Is more like an app developer, which is more around Python and Java and having a solid understanding of objects. ","This work is more around Python, Java and understanding of objects. "
"Actually, I got two offers from Morgan Stanley and Barclays, so I haven't told anyone.",Anuj got two offers from Morgan Stanley and Barclays.
"Perhaps new intents, new models for chatbots, right. That essentially takes the template and instantiate mission right. That you can simulate and launch, you know, which is kind of find it here then step eight, right? This is almost like before you non-commissioned, do you want me to do simulate and launch, right. Which is, again, nothing new. It's a mind that you wanted to test locally before you actually deploy. Um, so that's kind of step eight. And then lastly is, okay, now that I've created a test at the audition, I want to be able to take this mission and the partnership for an Omni channel engagement, right? Whether this is something being exposed to the anthems collaboration services, like project Thai, right. Or any of the chat bot mechanism we want to consider. So that's how we expect these missions to be made available to this ensemble basement. And lastly is why this has being put out. You want to make sure that we are able to measure and. ",Simulating and launching of missions becomes easy because of the mission templates.Next step is to publish these missions for Omni channel engagement.
"Automated the class that routinely are, are handled by project managers and scrum masters in the Lake. And instead let them focus on true  Value added tasks. So. ",Hive will autmate the tasks of project managers and scrum masters making them focus on true value tasks
Of the work OSTP process is to make it so that mere mortals can do this. Okay. So. ,Besides work OSTP process makes it so anybody can do this.
"I think it's a good point. And that's what I was talking about. How do you search what, what is available? What is not? And I think that is something that, you know, John I'll show you  It's deep and everybody that's the marketplace. Right. You know, there should be a marketplace catalog integration.  Yeah. But I think, yeah, I think it would be rather than a marketplace. I think it would be like a portal, uh, a place where in search for these assets and everything to Ashley's point. ","Marketplace their should be a catalog integration is used to serach, what is availabe or not. But rather than a marketplace, it would like portal a place where search for these assets and everything."
"Yep.  Can we talk about the,AI one more time, please. ",Can we talk about the AI one more time.
"Phone number. You never look at it now, right? I've got to, but no one else does, you know, without. ","You never look at your phone number now,Right?."
And frameworks and understanding like that. ,and understanding about frameworks.
"They're already API APIs. So you know, something for which there's an Apogee, a framework that we can drive is to be, maybe we prefer that over some  Thing where it's never been connected. ",They're already API APIs.Something for which apogee and framework is present we can prefer this over somethings which are never connected.
Oh Okay. So that means that makes Anuj as third. But I think Anuj has resigned from the organisation. So I am not sure whether ,Anuj is the third guy. He has resigned from the organisation
"For you and for Sean there then too, to kind of connect a clear on that. Yeah. Yeah. ",You and sean should connect a clear on that.
"And I think one of the one would be, this becomes almost like a sandbox for us to test our code. Actually six features really isn't it. ",This is nearly like a sandbox to test the code.
"I don't know, I could not get a chance to discuss with, but now how to talk to him and then probably, you know, Steve. So I think that's something we haven't, we haven't thought about, you know, how the data will look like yet. So, ",We haven't considered how the data will look like yet.
"To uh, process and do claim edits, I think is probably the most interesting and serious business case we that we have.  Yep. Yep. ",to process and do claim edits is the most interesting and serious business case.
It can be automated and it won't be as gentle. ,Automation wont be gentle.
"No, it's it's it's uh, what, what do you call  Paul in the air? So we breathe AI every day. So,  Um, yeah, I like. ",We breathe AI every day
"So if this term is present, then it is definitely talking about this particular topic. So like that you guys have to start then coming to Bhanu and anuj you guys have to extract those themes. So questions. So I guess I have added in my manual thing, I have added. ","if this term is present, then it is definitely talking about this particular topic."
